specimen,n_cells,n_high,mean_loading,high_state_fraction,low_state_mean,high_state_mean,fixed_state_prediction,within_state_residual,identity_error,residual_identity_error
GSM5050523,1238,28,0.027422848027440237,0.022617124394184167,0.01899450441422172,0.3916476970272405,0.0348649490869842,-0.007442101059543961,0.0,1.734723475976807e-18
GSM5050527,956,559,0.35362922714898465,0.5847280334728033,0.038031452356530375,0.5777657505704593,0.30985685661925083,0.043772370529733845,0.0,2.7755575615628914e-17
GSM5050530,221,113,0.2496050609385266,0.5113122171945701,0.055484085654218994,0.4351366125376879,0.2739408922867278,-0.024335831348201175,0.0,1.734723475976807e-17
GSM5050531,452,311,0.35041558163949343,0.6880530973451328,0.08208616453071013,0.4720697546695206,0.36040481068176683,-0.009989229042273354,5.551115123125783e-17,4.163336342344337e-17
GSM5050532,1153,164,0.09206639401007247,0.1422376409366869,0.04531269736919473,0.37401399143585345,0.09338484879492083,-0.001318454784848367,6.938893903907228e-18,3.469446951953614e-18
GSM5050533,843,0,0.01248211035845207,0.0,0.01248211035845207,,0.023800360089332534,-0.011318249730880465,0.0,0.0
GSM5050534,1004,0,0.01602080508424674,0.0,0.01602080508424674,,0.023800360089332534,-0.007779555005085793,0.0,0.0
GSM5050538,974,1,0.013104112337398853,0.001026694045174538,0.012795390755049157,0.31349021196365356,0.02430263205981848,-0.011198519722419626,1.6805133673525319e-18,1.734723475976807e-18
GSM5050539,356,249,0.35210303476818033,0.699438202247191,0.0889317681621238,0.46519269551857406,0.3659745508592058,-0.01387151609102557,5.551115123125783e-17,7.632783294297951e-17
GSM5050540,1020,858,0.4662563670627481,0.8411764705882353,0.10213392401505032,0.5350067584074183,0.43531474004947224,0.03094162701327586,0.0,6.938893903907228e-18
GSM5050547,1795,1054,0.3439810048531959,0.5871866295264624,0.042387499993694656,0.5560121121595435,0.3110596335227542,0.03292137133044171,0.0,0.0
GSM5050548,558,0,0.01413920412831489,0.0,0.01413920412831489,,0.023800360089332534,-0.009661155961017643,0.0,0.0
GSM5050552,215,4,0.029549761224797993,0.018604651162790697,0.024344854025938216,0.3041086159646511,0.032901995424277894,-0.0033522341994798996,8.673617379884035e-19,8.673617379884035e-19
GSM5050555,901,0,0.013581321234158452,0.0,0.013581321234158452,,0.023800360089332534,-0.010219038855174082,0.0,0.0
GSM5050556,1020,0,0.01382656681862678,0.0,0.01382656681862678,,0.023800360089332534,-0.009973793270705755,0.0,0.0
GSM5050557,926,1,0.016218680192436823,0.0010799136069114472,0.01599140441498241,0.22644877433776855,0.024328667755912785,-0.008109987563475961,2.222614453595284e-18,1.734723475976807e-18
GSM5050558,626,4,0.020456510114694793,0.006389776357827476,0.018864106761974392,0.26807523146271706,0.02692632110692559,-0.006469810992230798,1.0842021724855044e-18,8.673617379884035e-19
GSM5050563,872,73,0.05469780751138738,0.08371559633027523,0.027122005102841257,0.35652063113369353,0.06475510968278647,-0.010057302171399104,3.469446951953614e-18,1.0408340855860843e-17
GSM5050564,196,0,0.020514701269757078,0.0,0.020514701269757078,,0.023800360089332534,-0.0032856588195754564,0.0,0.0
GSM5050566,170,14,0.07049550311092068,0.08235294117647059,0.0501620076262416,0.29706873851163046,0.06408848120431124,0.006407021906609446,6.938893903907228e-18,6.938893903907228e-18
GSM5050567,153,0,0.013633698060670319,0.0,0.013633698060670319,,0.023800360089332534,-0.010166662028662215,0.0,0.0
GSM5050568,425,0,0.013496398290290552,0.0,0.013496398290290552,,0.023800360089332534,-0.010303961799041982,0.0,0.0
GSM5050569,1821,88,0.03927063619495993,0.04832509610104338,0.026108186667816217,0.29848114790564234,0.04744162045961893,-0.008170984264659004,1.734723475976807e-18,1.734723475976807e-18
GSM5050573,363,135,0.2086632408576276,0.371900826446281,0.05093607803594256,0.4750468936231401,0.2057390416298208,0.0029241992278068035,0.0,1.3877787807814457e-17
GSM5050574,1152,0,0.012041046521416219,0.0,0.012041046521416219,,0.023800360089332534,-0.011759313567916315,0.0,0.0
