panel,quantity,estimate,lower_95,upper_95,p_value,bh_q
patient_unit_auc,Fibroblast topic,0.7142857142857143,0.3571428571428571,1.0,0.3021148036253776,
patient_unit_auc,Module,0.7857142857142856,0.49999999999999994,1.0,0.1661631419939577,
patient_unit_auc,PCA,0.5,0.0,1.0,0.5024875621890548,
patient_unit_auc,NMF,0.125,0.0,0.42857142857142855,0.9751243781094527,
paired_anatomy_topic0,foot_minus_forearm,0.04757931906347437,0.01188264005875065,0.09161679603429441,0.010731707317073172,0.04024390243902439
