readout,auc,ci_low,ci_high,p_one_sided,null_mean
Fibroblast topic,0.8222222222222222,0.5555555555555556,1.0,0.06040938592111832,0.5609723609723609
Module,0.8444444444444444,0.5777777777777777,1.0,0.042436345481777334,0.49672549672549665
PCA,0.5333333333333333,0.15555555555555553,0.8888888888888888,0.4527363184079602,0.47977777777777775
NMF,0.8777777777777778,0.6552777777777777,1.0,0.05970149253731343,0.5530555555555555
