"before","after"
0.0303030303030303,0.0314685314685315
0.604060913705584,0.605329949238579
0.585526315789474,0.572368421052632
0.721254355400697,0.724738675958188
0.145679012345679,0.14320987654321
0,0
0,0
0,0
0.719354838709677,0.719354838709677
0.86150234741784,0.862676056338028
0.617608409986859,0.616294349540079
0,0
0.0185185185185185,0.0185185185185185
0,0
0,0
0.00134408602150538,0.00134408602150538
0.00179856115107914,0
0.0875,0.0847222222222222
0,0
0.089041095890411,0.089041095890411
0,0
0,0
0.0480374926772115,0.0503807850029291
0.391156462585034,0.391156462585034
0,0
