"gsm","arm","celltype","topic_0","x","y"
"GSM5050566","DFU-healer","endothelial",0.0074389456,-1.9192998,-10.637605
"GSM5050539","DFU-healer","t_cell",0.006744238,13.605671,4.8364472
"GSM5050547","DFU-healer","myeloid",0.017818358,10.133482,9.807552
"GSM5050532","DFU-healer","fibroblast",0.09600348,2.6935983,0.057560723
"GSM5050530","DFU-nonhealer","myeloid",0.005277079,12.829022,-4.2842164
"GSM5050552","Non-diabetic","keratinocyte",0.0039066807,2.124984,16.841484
"GSM5050564","Non-diabetic","sweat_gland",0.009768474,-1.3721037,11.76566
"GSM5050569","DFU-healer","lymphatic_ec",0.011587676,0.28012127,-10.809749
"GSM5050527","DFU-healer","fibroblast",0.390873,4.2858357,0.83555436
"GSM5050566","DFU-healer","fibroblast",0.09846897,2.1508534,-0.5486012
"GSM5050564","Non-diabetic","sweat_gland",0.008160152,-1.9588333,12.948463
"GSM5050547","DFU-healer","t_cell",0.006983505,15.962832,7.020275
"GSM5050539","DFU-healer","pericyte_smc",0.011279792,-4.9915276,2.293258
"GSM5050557","DFU-nonhealer","endothelial",0.006541628,-0.74259084,-9.750646
"GSM5050566","DFU-healer","t_cell",0.0071772197,14.770134,8.166149
"GSM5050538","Non-diabetic","sweat_gland",0.012128819,2.424231,4.1992598
"GSM5050548","Non-diabetic","pericyte_smc",0.011045865,-2.9228942,1.8713948
"GSM5050573","DFU-healer","t_cell",0.006092786,14.953721,6.8560386
"GSM5050573","DFU-healer","keratinocyte",0.008469774,4.7608986,12.562853
"GSM5050533","DFU-nonhealer","keratinocyte",0.0046299337,3.1355422,16.03272
"GSM5050539","DFU-healer","t_cell",0.006458569,15.550935,7.354034
"GSM5050548","Non-diabetic","fibroblast",0.016315399,2.7264037,2.7137592
"GSM5050573","DFU-healer","pericyte_smc",0.013480603,-5.7445903,1.6928014
"GSM5050539","DFU-healer","lymphatic_ec",0.07709613,-1.1835661,-9.538795
"GSM5050563","DFU-nonhealer","pericyte_smc",0.013889894,-6.773324,4.872047
"GSM5050547","DFU-healer","fibroblast",0.016686073,3.6224978,-0.16827992
"GSM5050540","Non-diabetic","fibroblast",0.25229773,7.6602015,-0.3712369
"GSM5050568","Non-diabetic","endothelial",0.007868009,1.2783002,-8.738187
"GSM5050573","DFU-healer","keratinocyte",0.0040134145,1.1724349,16.172684
"GSM5050556","Non-diabetic","pericyte_smc",0.009557895,-6.8969584,3.588233
"GSM5050538","Non-diabetic","keratinocyte",0.0042687594,3.1199875,16.349438
"GSM5050527","DFU-healer","pericyte_smc",0.0532986,-2.6294847,3.165464
"GSM5050523","DFU-healer","pericyte_smc",0.022928583,-3.6886358,2.684586
"GSM5050540","Non-diabetic","t_cell",0.010512584,16.647097,6.2515135
"GSM5050556","Non-diabetic","keratinocyte",0.012945492,-0.99568677,11.825087
"GSM5050567","Non-diabetic","pericyte_smc",0.014708799,-6.9164557,6.458028
"GSM5050557","DFU-nonhealer","t_cell",0.005123566,16.099096,6.945712
"GSM5050548","Non-diabetic","pericyte_smc",0.011700615,-7.6380386,6.1685185
"GSM5050530","DFU-nonhealer","keratinocyte",0.0035633408,-0.02158815,16.591036
"GSM5050534","Non-diabetic","pericyte_smc",0.011419371,-10.111694,5.706611
"GSM5050523","DFU-healer","pericyte_smc",0.0131363785,-1.9861728,2.0891094
"GSM5050547","DFU-healer","pericyte_smc",0.017189248,-7.7357244,8.066005
"GSM5050530","DFU-nonhealer","b_plasma",0.0069110873,14.384362,0.7140802
"GSM5050548","Non-diabetic","pericyte_smc",0.011812292,-9.883449,4.1629767
"GSM5050548","Non-diabetic","pericyte_smc",0.015219598,-6.45603,6.046792
"GSM5050552","Non-diabetic","endothelial",0.0068786656,-1.4982805,-10.800883
"GSM5050538","Non-diabetic","sweat_gland",0.0073772524,1.568811,4.1254835
"GSM5050527","DFU-healer","fibroblast",0.057394024,-3.2130477,6.7972946
"GSM5050573","DFU-healer","keratinocyte",0.0062866393,2.4469502,14.95407
"GSM5050548","Non-diabetic","endothelial",0.009026304,0.46494234,-9.163167
"GSM5050569","DFU-healer","fibroblast",0.008973489,7.032692,-4.0766625
"GSM5050556","Non-diabetic","endothelial",0.0059089107,-4.791296,-10.048507
"GSM5050557","DFU-nonhealer","fibroblast",0.008271202,1.0885836,2.4892993
"GSM5050548","Non-diabetic","endothelial",0.0069606127,-0.62416416,-9.407784
"GSM5050527","DFU-healer","fibroblast",0.22678842,4.9074297,-0.463306
"GSM5050569","DFU-healer","endothelial",0.010179447,-0.5735293,-11.05211
"GSM5050547","DFU-healer","myeloid",0.12315922,1.772851,-1.3686166
"GSM5050556","Non-diabetic","pericyte_smc",0.009437036,-7.70109,5.379619
"GSM5050573","DFU-healer","keratinocyte",0.00406592,0.3920067,16.223715
"GSM5050568","Non-diabetic","fibroblast",0.011986402,0.76362234,-0.9912981
"GSM5050556","Non-diabetic","keratinocyte",0.0071668257,-0.67510223,13.296441
"GSM5050547","DFU-healer","fibroblast",0.15315548,5.07786,-0.9337156
