"row","col","rho"
1,1,1
2,1,0.70989010989011
3,1,0.173626373626374
4,1,0.606704118694153
1,2,0.70989010989011
2,2,1
3,2,0.402197802197802
4,2,0.675597260377372
1,3,0.173626373626374
2,3,0.402197802197802
3,3,1
4,3,0.320019754915597
1,4,0.606704118694153
2,4,0.675597260377372
3,4,0.320019754915597
4,4,1
