"label","value","low","high","null_mean"
"Fibroblast
topic",0.822222222222222,0.555555555555556,1,0.560972360972361
"Module",0.844444444444444,0.577777777777778,1,0.496725496725497
"PCA",0.533333333333333,0.155555555555556,0.888888888888889,0.479777777777778
"NMF",0.877777777777778,0.655277777777778,1,0.553055555555556
