"cut","rho","p"
0.08,0.932564351493381,0.041958041958042
0.1,0.941357528307584,0.041958041958042
0.12,0.909074088884285,0.041958041958042
0.14,0.930148841876673,0.041958041958042
0.16,0.92936687563718,0.0599400599400599
0.18,0.934906545136442,0.0599400599400599
0.1843,0.932543681079652,0.0599400599400599
0.2,0.934906545136442,0.0599400599400599
0.22,0.934118923784179,0.0599400599400599
0.24,0.922839252296356,0.0616615939961741
0.26,0.922839252296356,0.0616615939961741
0.28,0.92363411814674,0.0616615939961741
0.3,0.92363411814674,0.0616615939961741
0.32,0.947913368596141,0.0616615939961741
0.34,0.946305373059931,0.0616615939961741
0.36,0.940136581267179,0.0608028641500692
0.38,0.918237537970818,0.0608028641500692
0.4,0.918237537970818,0.0608028641500692
