"gsm","arm","celltype","cells","fraction"
"GSM5050547","Healer","endothelial",235,0.050755939524838
"GSM5050547","Healer","fibroblast",1795,0.38768898488121
"GSM5050547","Healer","keratinocyte",205,0.0442764578833693
"GSM5050547","Healer","lymphatic_ec",45,0.00971922246220302
"GSM5050547","Healer","mast",21,0.00453563714902808
"GSM5050547","Healer","melanocyte",32,0.00691144708423326
"GSM5050547","Healer","myeloid",518,0.111879049676026
"GSM5050547","Healer","pericyte_smc",1487,0.321166306695464
"GSM5050547","Healer","t_cell",233,0.0503239740820734
"GSM5050548","Healthy","b_plasma",5,0.00142247510668563
"GSM5050548","Healthy","endothelial",248,0.0705547652916074
"GSM5050548","Healthy","fibroblast",558,0.158748221906117
"GSM5050548","Healthy","keratinocyte",650,0.184921763869132
"GSM5050548","Healthy","lymphatic_ec",54,0.0153627311522048
"GSM5050548","Healthy","mast",28,0.00796586059743954
"GSM5050548","Healthy","melanocyte",112,0.0318634423897582
"GSM5050548","Healthy","myeloid",168,0.0477951635846373
"GSM5050548","Healthy","pericyte_smc",1483,0.421906116642959
"GSM5050548","Healthy","sweat_gland",2,0.000568990042674253
"GSM5050548","Healthy","t_cell",207,0.0588904694167852
"GSM5050552","Healthy","endothelial",835,0.336286749899315
"GSM5050552","Healthy","fibroblast",215,0.0865888038662908
"GSM5050552","Healthy","keratinocyte",874,0.351993556182038
"GSM5050552","Healthy","lymphatic_ec",46,0.0185259766411599
"GSM5050552","Healthy","mast",114,0.0459122029802658
"GSM5050552","Healthy","melanocyte",17,0.00684655658477648
"GSM5050552","Healthy","myeloid",66,0.0265807490938381
"GSM5050552","Healthy","pericyte_smc",248,0.0998791784132098
"GSM5050552","Healthy","sweat_gland",1,0.000402738622633911
"GSM5050552","Healthy","t_cell",67,0.026983487716472
"GSM5050555","Healthy","b_plasma",8,0.00230880230880231
"GSM5050555","Healthy","endothelial",181,0.0522366522366522
"GSM5050555","Healthy","fibroblast",901,0.26002886002886
"GSM5050555","Healthy","keratinocyte",393,0.113419913419913
"GSM5050555","Healthy","lymphatic_ec",60,0.0173160173160173
"GSM5050555","Healthy","mast",363,0.104761904761905
"GSM5050555","Healthy","melanocyte",74,0.0213564213564214
"GSM5050555","Healthy","myeloid",204,0.0588744588744589
"GSM5050555","Healthy","pericyte_smc",958,0.276479076479076
"GSM5050555","Healthy","sweat_gland",201,0.058008658008658
"GSM5050555","Healthy","t_cell",122,0.0352092352092352
"GSM5050556","Healthy","b_plasma",11,0.00262404580152672
"GSM5050556","Healthy","endothelial",234,0.0558206106870229
"GSM5050556","Healthy","fibroblast",1020,0.243320610687023
"GSM5050556","Healthy","keratinocyte",908,0.216603053435115
"GSM5050556","Healthy","lymphatic_ec",69,0.0164599236641221
"GSM5050556","Healthy","mast",166,0.0395992366412214
"GSM5050556","Healthy","melanocyte",33,0.00787213740458015
"GSM5050556","Healthy","myeloid",125,0.0298187022900763
"GSM5050556","Healthy","pericyte_smc",1357,0.323711832061069
"GSM5050556","Healthy","sweat_gland",119,0.0283874045801527
"GSM5050556","Healthy","t_cell",150,0.0357824427480916
"GSM5050557","Non-healer","b_plasma",24,0.0056232427366448
"GSM5050557","Non-healer","endothelial",331,0.0775538894095595
"GSM5050557","Non-healer","fibroblast",926,0.216963448922212
"GSM5050557","Non-healer","keratinocyte",194,0.0454545454545455
"GSM5050557","Non-healer","lymphatic_ec",86,0.0201499531396439
"GSM5050557","Non-healer","mast",110,0.0257731958762887
"GSM5050557","Non-healer","melanocyte",57,0.0133552014995314
"GSM5050557","Non-healer","myeloid",983,0.230318650421743
"GSM5050557","Non-healer","pericyte_smc",909,0.212980318650422
"GSM5050557","Non-healer","sweat_gland",34,0.00796626054358013
"GSM5050557","Non-healer","t_cell",614,0.143861293345829
"GSM5050558","Non-healer","b_plasma",31,0.00908291825373572
"GSM5050558","Non-healer","endothelial",200,0.0585994726047466
"GSM5050558","Non-healer","fibroblast",626,0.183416349252857
"GSM5050558","Non-healer","keratinocyte",22,0.00644594198652212
"GSM5050558","Non-healer","lymphatic_ec",20,0.00585994726047466
"GSM5050558","Non-healer","mast",33,0.00966891297978318
"GSM5050558","Non-healer","melanocyte",10,0.00292997363023733
"GSM5050558","Non-healer","myeloid",838,0.245531790213888
"GSM5050558","Non-healer","pericyte_smc",887,0.259888661002051
"GSM5050558","Non-healer","t_cell",746,0.218576032815705
"GSM5050563","Non-healer","b_plasma",33,0.0133010882708585
"GSM5050563","Non-healer","endothelial",560,0.22571543732366
"GSM5050563","Non-healer","fibroblast",872,0.351471180975413
"GSM5050563","Non-healer","keratinocyte",178,0.071745264006449
"GSM5050563","Non-healer","lymphatic_ec",25,0.0100765820233777
"GSM5050563","Non-healer","mast",1,0.000403063280935107
"GSM5050563","Non-healer","melanocyte",15,0.0060459492140266
"GSM5050563","Non-healer","myeloid",23,0.00927045546150746
"GSM5050563","Non-healer","pericyte_smc",718,0.289399435711407
"GSM5050563","Non-healer","sweat_gland",5,0.00201531640467553
"GSM5050563","Non-healer","t_cell",51,0.0205562273276904
"GSM5050564","Healthy","b_plasma",1,0.000582750582750583
"GSM5050564","Healthy","endothelial",253,0.147435897435897
"GSM5050564","Healthy","fibroblast",196,0.114219114219114
"GSM5050564","Healthy","keratinocyte",261,0.152097902097902
"GSM5050564","Healthy","lymphatic_ec",48,0.027972027972028
"GSM5050564","Healthy","mast",3,0.00174825174825175
"GSM5050564","Healthy","melanocyte",51,0.0297202797202797
"GSM5050564","Healthy","myeloid",20,0.0116550116550117
"GSM5050564","Healthy","pericyte_smc",268,0.156177156177156
"GSM5050564","Healthy","sweat_gland",590,0.343822843822844
"GSM5050564","Healthy","t_cell",25,0.0145687645687646
"GSM5050566","Healer","b_plasma",19,0.0103373231773667
"GSM5050566","Healer","endothelial",432,0.235038084874864
"GSM5050566","Healer","fibroblast",170,0.0924918389553863
"GSM5050566","Healer","keratinocyte",263,0.143090315560392
"GSM5050566","Healer","lymphatic_ec",45,0.0244831338411317
"GSM5050566","Healer","mast",6,0.00326441784548422
"GSM5050566","Healer","melanocyte",37,0.0201305767138194
"GSM5050566","Healer","myeloid",37,0.0201305767138194
"GSM5050566","Healer","pericyte_smc",287,0.156147986942329
"GSM5050566","Healer","sweat_gland",90,0.0489662676822633
"GSM5050566","Healer","t_cell",452,0.245919477693145
"GSM5050567","Healthy","endothelial",161,0.204055766793409
"GSM5050567","Healthy","fibroblast",153,0.193916349809886
"GSM5050567","Healthy","keratinocyte",110,0.139416983523447
"GSM5050567","Healthy","lymphatic_ec",24,0.0304182509505703
"GSM5050567","Healthy","mast",17,0.0215462610899873
"GSM5050567","Healthy","melanocyte",5,0.00633713561470215
