arm,loading,density,cells
Non-diabetic,0.67,0.22315568390653695,34
Non-diabetic,0.6900000000000001,0.19033867156734033,29
Non-diabetic,0.71,0.19690207403518073,30
Non-diabetic,0.73,0.183775269099501,28
Non-diabetic,0.75,0.11814124442110781,18
Non-diabetic,0.77,0.15095825676030442,23
Non-diabetic,0.79,0.11814124442110781,18
Non-diabetic,0.81,0.12470464688894713,19
Non-diabetic,0.8300000000000001,0.09845103701759036,15
Non-diabetic,0.85,0.12470464688894713,19
Non-diabetic,0.87,0.059070622210553904,9
Non-diabetic,0.89,0.07876082961407187,12
Non-diabetic,0.91,0.03281701233919661,5
Non-diabetic,0.93,0.0,0
Non-diabetic,0.95,0.0,0
Non-diabetic,0.97,0.0,0
Non-diabetic,0.99,0.0,0
