variant,readout,n_healed,n_nonhealed,healed_mean,nonhealed_mean,difference,ci_low,ci_high,exact_p,permutations,bh_q
cell-weighted,fibroblast_mean,7,4,0.1728731139487157,0.0836782474710985,0.08919486647761721,-0.04860788050334285,0.21769625210073582,0.31212121212121213,330,0.4696969696969697
cell-weighted,high_state_fraction,7,4,0.30098808413560035,0.14956236575234536,0.151425718383255,-0.13308071443314262,0.41530859034227663,0.3696969696969697,330,0.4696969696969697
cell-weighted,fibroblast_fraction,7,4,0.28252288163946515,0.21175101440013844,0.07077186723932671,-0.07078163744545117,0.21455986236995023,0.4696969696969697,330,0.4696969696969697
equal-specimen,fibroblast_mean,7,4,0.18114305239785744,0.08378064349048296,0.09736240890737448,-0.04213023771637919,0.22603268357877093,0.2787878787878788,330,0.48484848484848486
equal-specimen,high_state_fraction,7,4,0.3179624130008161,0.1496906646268037,0.16827174837401243,-0.1169830653233349,0.43099319191183255,0.3424242424242424,330,0.48484848484848486
equal-specimen,fibroblast_fraction,7,4,0.2791816836337249,0.21128423321576628,0.06789745041795864,-0.0724094423299072,0.21135433063974354,0.48484848484848486,330,0.48484848484848486
minimum-100-fibroblasts,fibroblast_mean,7,4,0.1728731139487157,0.0836782474710985,0.08919486647761721,-0.04860788050334285,0.21769625210073582,0.31212121212121213,330,0.4696969696969697
minimum-100-fibroblasts,high_state_fraction,7,4,0.30098808413560035,0.14956236575234536,0.151425718383255,-0.13308071443314262,0.41530859034227663,0.3696969696969697,330,0.4696969696969697
minimum-100-fibroblasts,fibroblast_fraction,7,4,0.28252288163946515,0.21175101440013844,0.07077186723932671,-0.07078163744545117,0.21455986236995023,0.4696969696969697,330,0.4696969696969697
