celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
b_plasma,COL1A1,1516,0.8196196522008593,0.3555408970976253,2.908567344449344
b_plasma,PDGFRA,1516,0.0393068505430482,0.03562005277044855,0.09223615654018874
b_plasma,KRT14,1516,0.3432681452868547,0.24802110817941952,0.7163379289983471
b_plasma,KRT10,1516,0.6196281473398707,0.4762532981530343,0.8925665355715331
b_plasma,LYZ,1516,0.04345269978545205,0.032981530343007916,0.20304158541093562
b_plasma,CD3D,1516,0.021306273858995525,0.0158311345646438,0.03715377996890795
b_plasma,MS4A1,1516,1.3127902147198804,0.5600263852242744,1.5076948900026512
b_plasma,PECAM1,1516,0.07490091777041664,0.08839050131926121,0.17500761681688373
b_plasma,CCL21,1516,0.050934742011921094,0.05079155672823219,0.10037809628902053
b_plasma,RGS5,1516,0.16037050985046755,0.08179419525065963,0.5681626793246315
b_plasma,TPSAB1,1516,0.019880804647649127,0.016490765171503958,0.05333853952210833
b_plasma,PMEL,1516,0.003246866211285654,0.005277044854881266,0.00892514387094161
b_plasma,DCD,1516,0.022032948455947964,0.017150395778364115,0.03427025444359285
b_plasma,TIMP1,1516,0.7445597978133417,0.3970976253298153,2.1551625850178557
b_plasma,CHI3L1,1516,0.08770403273056991,0.05343007915567282,0.47538295721616497
b_plasma,FN1,1516,0.3330398696275178,0.17810026385224276,1.1993544376033312
b_plasma,DCN,1516,0.3665773986156544,0.17810026385224276,1.3542385082272026
b_plasma,LUM,1516,0.3809836111729249,0.17810026385224276,1.3997306669656353
endothelial,COL1A1,7636,0.34330725385327304,0.250654793085385,0.9864481485610391
endothelial,PDGFRA,7636,0.02805030188433784,0.03653745416448402,0.045940375646849704
endothelial,KRT14,7636,0.49235472941196895,0.4006024096385542,0.8745645273086389
endothelial,KRT10,7636,0.7900496253838122,0.6262441068622315,1.1043357786659216
endothelial,LYZ,7636,0.010789863369798319,0.01178627553693033,0.013157550835948962
endothelial,CD3D,7636,0.0023996842982182106,0.0026191723415400735,0.0033353844290053315
endothelial,MS4A1,7636,0.0006093799129636066,0.000785751702462022,0.0008348896358985769
endothelial,PECAM1,7636,2.186586753245171,0.9064955474070194,2.5072633320114304
endothelial,CCL21,7636,0.022037593612521132,0.02920377160817182,0.027886317875724244
endothelial,RGS5,7636,0.06906802940971937,0.05408590885280251,0.40192530735438053
endothelial,TPSAB1,7636,0.008192484218793419,0.008381351492928235,0.009972963309086575
endothelial,PMEL,7636,0.011173267455462188,0.019774751178627554,0.01855989544745962
endothelial,DCD,7636,0.22549034647026195,0.17928234677841803,0.3189035022962199
endothelial,TIMP1,7636,1.1861179003155402,0.7574646411733892,1.4848030611292806
endothelial,CHI3L1,7636,0.011150297032370691,0.012048192771084338,0.01914535209846085
endothelial,FN1,7636,0.7061915022753987,0.4188056574122577,1.4754334264732045
endothelial,DCN,7636,0.20712817894363839,0.1500785751702462,0.8217401355938454
endothelial,LUM,7636,0.1392998725480757,0.1144578313253012,0.38445071063033126
fibroblast,COL1A1,19410,4.241443812803513,0.987892838742916,5.214964879489102
fibroblast,PDGFRA,19410,0.9527764366766556,0.6971664090674909,1.201694688596386
fibroblast,KRT14,19410,0.501187663719515,0.424317362184441,0.8311966255124414
fibroblast,KRT10,19410,1.1715438896022785,0.8049459041731066,1.3734280768333471
fibroblast,LYZ,19410,0.014750112443452762,0.01798042246264812,0.02744201499114552
fibroblast,CD3D,19410,0.002159259145935497,0.0026275115919629057,0.0032236589779588813
fibroblast,MS4A1,19410,0.00025678546473422895,0.0004121586810922205,0.0004842118336907466
fibroblast,PECAM1,19410,0.04573210464096491,0.07037609479649665,0.08219954928906847
fibroblast,CCL21,19410,0.026569624772710475,0.032818134981968054,0.03739265340656486
fibroblast,RGS5,19410,0.05644550496781792,0.04873776403915508,0.143994431808965
fibroblast,TPSAB1,19410,0.005330421423876219,0.005873261205564142,0.006543891753537118
fibroblast,PMEL,19410,0.0035265589041520023,0.004585265327150953,0.005313478352839278
fibroblast,DCD,19410,0.18781688292338644,0.13802163833075734,0.23680043875117604
fibroblast,TIMP1,19410,2.583630505838781,0.9554868624420402,3.5693264660086856
fibroblast,CHI3L1,19410,0.5146447765902177,0.21993817619783618,2.061120141192441
fibroblast,FN1,19410,1.9522100734773176,0.8492529623905204,2.8831889731998848
fibroblast,DCN,19410,3.8796624853312807,0.983101494075219,4.168508375389798
fibroblast,LUM,19410,3.183387878191892,0.9672333848531685,3.6632546439310496
keratinocyte,COL1A1,10821,0.4022761284442252,0.34543942334349875,0.9320622128086025
keratinocyte,PDGFRA,10821,0.016083684665074927,0.018020515663986693,0.020329413735541417
keratinocyte,KRT14,10821,3.99886542537247,0.889381757693374,5.646944845182936
keratinocyte,KRT10,10821,3.011454905312312,0.8908603641068293,4.8237799786801085
keratinocyte,LYZ,10821,0.008759870694332553,0.012568154514370206,0.023319192726905597
keratinocyte,CD3D,10821,0.002264041106075019,0.003049625727751594,0.0024841480383912596
keratinocyte,MS4A1,10821,0.00015214747494612273,0.0001848258016819148,0.00042629245428637863
keratinocyte,PECAM1,10821,0.01888658317155638,0.02310322521023935,0.0329231281872269
keratinocyte,CCL21,10821,0.026761684158019636,0.04140097957674892,0.034434756533048366
keratinocyte,RGS5,10821,0.061875773335916005,0.05008779225579891,0.16074952964721115
keratinocyte,TPSAB1,10821,0.007304140579870655,0.009333702984936697,0.00785714324967153
keratinocyte,PMEL,10821,0.01528276534133102,0.026430089640513816,0.021582037040064513
keratinocyte,DCD,10821,0.3329040406079558,0.27825524443212274,0.36643726449787095
keratinocyte,TIMP1,10821,0.34313883370546966,0.29904814712133815,0.6423900791392461
keratinocyte,CHI3L1,10821,0.05706634282128228,0.0705110433416505,0.15759798222448007
keratinocyte,FN1,10821,0.09819207769652301,0.10193142962757601,0.17755075344167637
keratinocyte,DCN,10821,0.6670951773164895,0.49487108400332686,1.1342663763158107
keratinocyte,LUM,10821,0.2556934890360169,0.20589594307365308,0.48559951952464103
lymphatic_ec,COL1A1,1420,0.9592116523439581,0.47676056338028167,1.8375682984901465
lymphatic_ec,PDGFRA,1420,0.056037053591843064,0.04647887323943662,0.09349433529442819
lymphatic_ec,KRT14,1420,0.575421300026894,0.3845070422535211,1.4257242707880466
lymphatic_ec,KRT10,1420,0.9240200185107209,0.6232394366197183,1.493383916425802
lymphatic_ec,LYZ,1420,0.023943946852677957,0.016901408450704224,0.07156710721915194
lymphatic_ec,CD3D,1420,0.006504864911659867,0.004929577464788733,0.008209568442471846
lymphatic_ec,MS4A1,1420,0.0011360906887322643,0.0007042253521126761,0.007300715342447301
lymphatic_ec,PECAM1,1420,0.8275628061586886,0.47394366197183097,1.3951024806316954
lymphatic_ec,CCL21,1420,2.813009475854549,0.7345070422535211,4.836401933673346
lymphatic_ec,RGS5,1420,0.19280107371701996,0.10352112676056338,0.5385430513391809
lymphatic_ec,TPSAB1,1420,0.007672343253148504,0.005633802816901409,0.007300715342447301
lymphatic_ec,PMEL,1420,0.00794463705516748,0.009154929577464789,0.01545080900730128
lymphatic_ec,DCD,1420,0.3551018438223325,0.2295774647887324,0.510353662520276
lymphatic_ec,TIMP1,1420,2.121783913432725,0.852112676056338,3.443730069573817
lymphatic_ec,CHI3L1,1420,0.03238511335521404,0.021830985915492956,0.14787814645306982
lymphatic_ec,FN1,1420,1.3233668544615376,0.6549295774647887,2.0794970339773284
lymphatic_ec,DCN,1420,0.9081961930047792,0.3619718309859155,2.3986544560678733
lymphatic_ec,LUM,1420,0.7449464788793296,0.3471830985915493,1.5726542462497424
mast,COL1A1,1226,0.4060735512803024,0.17536704730831973,1.7822024967411192
mast,PDGFRA,1226,0.042808518048947614,0.02773246329526917,0.14566641953951484
mast,KRT14,1226,0.4460121480814191,0.18433931484502447,2.50073720357973
mast,KRT10,1226,1.1649459932531878,0.5285481239804242,2.144423480722333
mast,LYZ,1226,0.0782756101080154,0.03915171288743882,0.4197390655694384
mast,CD3D,1226,0.021288500765618463,0.010603588907014683,0.05955160068861267
mast,MS4A1,1226,0.003997228598691171,0.0016313213703099511,0.013543543323897022
mast,PECAM1,1226,0.046771977148699885,0.024469820554649267,0.20293153551975457
mast,CCL21,1226,0.03137168251758229,0.01794453507340946,0.09736946181569843
mast,RGS5,1226,0.12768373776870728,0.05301794453507341,0.7044211111458512
mast,TPSAB1,1226,3.352947157111879,0.8384991843393148,3.8884953529995863
mast,PMEL,1226,0.001580803942958696,0.0008156606851549756,0.003403120948511838
mast,DCD,1226,0.34887522417754074,0.1566068515497553,0.8204520574009337
mast,TIMP1,1226,1.4093929783680896,0.5962479608482871,2.1704363557550934
mast,CHI3L1,1226,0.014301623210435165,0.00897226753670473,0.16319288407969157
mast,FN1,1226,0.1795634147652677,0.09380097879282219,0.6908465844996255
mast,DCN,1226,0.5055807796369685,0.17862969004893964,2.3986753008495385
mast,LUM,1226,0.28982012436958715,0.11745513866231648,1.466472891845671
melanocyte,COL1A1,1330,0.8236994661657773,0.38646616541353385,2.1762040447838253
melanocyte,PDGFRA,1330,0.04875079616167807,0.03684210526315789,0.12337394661129313
melanocyte,KRT14,1330,0.8490526243667007,0.37293233082706767,3.5620105603132055
melanocyte,KRT10,1330,1.0539578645580718,0.5909774436090226,1.965395259590257
melanocyte,LYZ,1330,0.005228723157806785,0.0030075187969924814,0.01059026978072203
melanocyte,CD3D,1330,0.0011580718428979473,0.0007518796992481203,0.001772851764132301
melanocyte,MS4A1,1330,0.0,0.0,0.0
melanocyte,PECAM1,1330,0.022061343083904877,0.018796992481203006,0.08010234019784805
melanocyte,CCL21,1330,0.04315205838961107,0.032330827067669175,0.08337265160559836
melanocyte,RGS5,1330,0.12615382236247183,0.05413533834586466,0.4279449867122104
melanocyte,TPSAB1,1330,0.007538725164661541,0.006015037593984963,0.01758865075697021
melanocyte,PMEL,1330,1.4171777730777169,0.4293233082706767,3.592024128521704
melanocyte,DCD,1330,0.30351117757848634,0.17518796992481203,0.6979592673291146
melanocyte,TIMP1,1330,0.9978579968203484,0.5007518796992482,2.125827654938157
melanocyte,CHI3L1,1330,0.049926508394161656,0.022556390977443608,0.24852544589798148
melanocyte,FN1,1330,0.5724689274163783,0.33533834586466166,1.112634269043392
melanocyte,DCN,1330,0.8654527310393013,0.3030075187969925,2.4245357523033864
melanocyte,LUM,1330,0.5664146761924272,0.22932330827067668,1.6146579638791558
myeloid,COL1A1,5691,0.3668657493734247,0.26181690388332457,1.1145716515440922
myeloid,PDGFRA,5691,0.018048039415186987,0.01774732033034616,0.04163782027078704
myeloid,KRT14,5691,0.4696605112674498,0.32156035846072745,0.6724920585376231
myeloid,KRT10,5691,0.6020057438477163,0.4507116499736426,0.8599418884699918
myeloid,LYZ,5691,2.6076501002371852,0.8550342646283605,3.532891004022229
myeloid,CD3D,5691,0.006605858659104627,0.006501493586364435,0.01642929640268384
myeloid,MS4A1,5691,0.0018817004600504656,0.0017571604287471446,0.004407605405202719
