gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050523,myeloid,TIMP1,97,2.010272690162275,0.8041237113402062,2.854819554812459
GSM5050523,myeloid,CHI3L1,97,0.0,0.0,0.0
GSM5050523,myeloid,FN1,97,0.07283839211010243,0.05154639175257732,0.417572939356536
GSM5050523,myeloid,DCN,97,0.12566959413020493,0.07216494845360824,0.2891953485562164
GSM5050523,myeloid,LUM,97,0.24574306163305337,0.14432989690721648,0.8507534183426708
GSM5050523,pericyte_smc,COL1A1,1599,2.7411362396999244,0.924953095684803,3.7453045169792043
GSM5050523,pericyte_smc,PDGFRA,1599,0.006295749233147238,0.0068792995622263915,0.013413917582294916
GSM5050523,pericyte_smc,KRT14,1599,0.6576791873843482,0.482801751094434,0.9477900470249291
GSM5050523,pericyte_smc,KRT10,1599,0.7781283035543368,0.5465916197623515,1.1059056876380209
GSM5050523,pericyte_smc,LYZ,1599,0.004455582563395449,0.00375234521575985,0.012201878640434038
GSM5050523,pericyte_smc,CD3D,1599,0.0016729547096863643,0.001876172607879925,0.0036762219884775888
GSM5050523,pericyte_smc,MS4A1,1599,0.0,0.0,0.0
GSM5050523,pericyte_smc,PECAM1,1599,0.017967058048851108,0.01938711694809256,0.0572568879869074
GSM5050523,pericyte_smc,CCL21,1599,0.1142774623730415,0.09818636647904941,0.21164667894984307
GSM5050523,pericyte_smc,RGS5,1599,2.8091690050210874,0.8805503439649781,3.364983001382572
GSM5050523,pericyte_smc,TPSAB1,1599,0.004695864620893246,0.00375234521575985,0.007338978854516698
GSM5050523,pericyte_smc,PMEL,1599,0.003704020742121652,0.0050031269543464665,0.009773384718853763
GSM5050523,pericyte_smc,DCD,1599,0.0012302877100636917,0.0012507817385866166,0.0024523156681785455
GSM5050523,pericyte_smc,TIMP1,1599,2.4678203573713073,0.9274546591619762,3.0355306015173125
GSM5050523,pericyte_smc,CHI3L1,1599,0.0009753125550203594,0.001876172607879925,0.004898632193014771
GSM5050523,pericyte_smc,FN1,1599,1.3274838165071843,0.6716697936210131,2.049551827033047
GSM5050523,pericyte_smc,DCN,1599,1.178139214755571,0.5953721075672295,1.7574621763246907
GSM5050523,pericyte_smc,LUM,1599,2.037006903762473,0.8080050031269543,2.577088431107177
GSM5050523,t_cell,COL1A1,280,0.8843539762392933,0.35,3.3300954511159224
GSM5050523,t_cell,PDGFRA,280,0.016321807485113787,0.010714285714285714,0.10473289136078315
GSM5050523,t_cell,KRT14,280,0.5334224080401824,0.2392857142857143,1.1483773446890015
